algorithm,Mode,interation,time,cost
Newton,fixed,0,1.0945961475372314,2408781162.025012
Newton,fixed,50,1.4036788940429688,2408781162.025012
Newton,fixed,100,1.763415813446045,2408781162.025012
Newton,fixed,150,0.8218574523925781,2408781162.025012
Newton,fixed,200,0.7026879787445068,2408781162.025012
Newton,fixed,250,0.6808669567108154,2408781162.025012
Newton,fixed,300,0.6545238494873047,2408781162.025012
Newton,fixed,350,0.6949260234832764,2408781162.025012
Newton,fixed,400,0.7027482986450195,2408781162.025012
Newton,fixed,450,0.7222263813018799,2408781162.025012
Newton,fixed,500,0.7053205966949463,2408781162.025012
Newton,fixed,550,0.7056612968444824,2408781162.025012
Newton,fixed,600,0.7123229503631592,2408781162.025012
Newton,fixed,650,0.6836836338043213,2408781162.025012
Newton,fixed,700,1.1690495014190674,2408781162.025012
Newton,fixed,750,1.3691468238830566,2408781162.025012
Newton,fixed,800,0.6374387741088867,2408781162.025012
Newton,fixed,850,0.6478722095489502,2408781162.025012
Newton,fixed,900,0.6431138515472412,2408781162.025012
Newton,fixed,950,0.6507759094238281,2408781162.025012
Newton,linesearch,0,7.534027099609375e-05,27928151800.229256
Newton,linesearch,50,0.00017333030700683594,2408781162.025016
Newton,linesearch,100,0.00020003318786621094,2408781162.025016
Newton,linesearch,150,0.0001704692840576172,2408781162.025016
Newton,linesearch,200,0.00016546249389648438,2408781162.025016
Newton,linesearch,250,0.00016450881958007812,2408781162.025016
Newton,linesearch,300,0.00016808509826660156,2408781162.025016
Newton,linesearch,350,0.0001614093780517578,2408781162.025016
Newton,linesearch,400,0.0001742839813232422,2408781162.025016
Newton,linesearch,450,0.0001609325408935547,2408781162.025016
Newton,linesearch,500,0.00021386146545410156,2408781162.025016
Newton,linesearch,550,0.0001900196075439453,2408781162.025016
Newton,linesearch,600,0.00020766258239746094,2408781162.025016
Newton,linesearch,650,0.00018668174743652344,2408781162.025016
Newton,linesearch,700,0.00017380714416503906,2408781162.025016
Newton,linesearch,750,0.00017023086547851562,2408781162.025016
Newton,linesearch,800,0.000171661376953125,2408781162.025016
Newton,linesearch,850,0.00016951560974121094,2408781162.025016
Newton,linesearch,900,0.0001838207244873047,2408781162.025016
Newton,linesearch,950,0.00016021728515625,2408781162.025016
