algorithm,lamda,cost,time
GD_fixed,0.1,2408781162.0250387,0.13471508026123047
Newton_fixed,0.1,2408781162.025012,0.006272792816162109
Accelerated_GD_fixed,0.1,2408781162.0250196,0.49074816703796387
GD_fixed,0.01,2408829900.832633,0.16419649124145508
Newton_fixed,0.01,2408781162.025012,0.08333110809326172
Accelerated_GD_fixed,0.01,2408781162.0250196,0.5029716491699219
GD_fixed,0.001,2555339286.693197,0.15205597877502441
Newton_fixed,0.001,2408781162.025012,1.1028692722320557
Accelerated_GD_fixed,0.001,2408781162.0250196,0.6351556777954102
GD_fixed,0.0001,6343448813.938704,0.1965327262878418
Newton_fixed,0.0001,2408781162.025008,6.901971101760864
Accelerated_GD_fixed,0.0001,2408781162.0250196,0.4421103000640869
GD_fixed,1e-05,23380606039.613594,0.12472772598266602
Newton_fixed,1e-05,2408781162.0250235,77.04703688621521
Accelerated_GD_fixed,1e-05,2408781162.0250196,0.4481837749481201
GD_fixed,1e-06,27430619588.527927,0.11764836311340332
Newton_fixed,1e-06,2408781162.025016,844.086056470871
Accelerated_GD_fixed,1e-06,2408781162.0250196,0.40024352073669434
GD_fixed,1e-07,27877940669.80072,0.21388673782348633
